Product ID,Updated,Status,Instance ID,Version
7fad6690-a1ca-4f75-9ad7-25783d353e6e,2023-08-29T08:46:26.443+00:00,"['Feed Exclusions', 'Physical']",8da3ac20-6799-442a-b2ab-423ebabeffd1,40
7fae369b-9dcf-4b90-a411-e853cee54176,2023-08-29T08:46:26.57+00:00,"['Feed Exclusions', 'Digital', 'WaitingReject']",1853833e-67c4-4fae-b5ef-a8e9af2e187f,40
7fa46540-c93d-4026-9313-a54f8b61ac85,2023-08-29T08:46:26.273+00:00,['Feed Exclusions'],7bc90d38-3485-44b2-a248-3cc228efeaeb,40
7faa6e54-334c-4182-b207-e2f6d4f6d6c9,2023-08-29T08:46:26.633+00:00,"['Feed Exclusions', 'Digital', 'WaitingReject']",df2a7430-c2fb-4c40-a57e-5b90bc8b6262,40
7faa4d40-e6c4-486c-b113-141012d0a804,2023-09-06T05:06:44.29+00:00,"['Unique Sent', 'Brand']",5954d7c4-9f5e-429b-8a1a-76203e6690d8,40
7fa5f07c-fb3e-40ea-9efe-1991d5ce75b0,2023-09-07T18:48:36.863+00:00,"['Unique Sent', 'Brand']",a618ffd7-8c9b-40e0-ae74-a9e7d6f4cd52,40
7f9faedc-cd0c-4b35-97e8-988f744d7d66,2023-08-29T08:46:23.6+00:00,"['Feed Exclusions', 'Digital', 'WaitingReject']",11a674a0-6898-4ef9-b476-05aac0b9175b,40
7e9dffb9-e9bf-449b-b695-ebadab141a6d,2023-08-29T08:49:14.29+00:00,"['Feed Exclusions', 'Physical']",99872158-4599-46a5-8c59-55ad60cceec2,40
7ea5bb0c-b08f-4116-bf03-c02d0fb65473,2023-08-29T08:49:16.51+00:00,"['Feed Exclusions', 'Physical']",9aeaaf91-bc34-48f0-8ca3-9d4c71ba425d,40
7e962b35-db5b-4cb1-8b36-bbc310bfc1e4,2023-08-29T08:49:18.587+00:00,['Feed Exclusions'],8790bf36-04b2-4f55-8812-cccd927e0a2e,40
7e95e3a1-69aa-4cb5-93b3-ac7fb228e63d,2023-08-29T08:49:17.773+00:00,"['Feed Exclusions', 'Physical']",fc73d2cb-eebc-42f7-bd2c-7417817fee15,40
7e8c9e7f-6098-4ae0-997d-9f5e2f358646,2023-08-29T08:49:18.087+00:00,['Feed Exclusions'],d4cca205-c11d-4eb6-aefe-d649e82dcb99,40
7e8bea26-fbf1-4d57-be4c-35a6450c0044,2023-08-29T08:49:17.057+00:00,"['Feed Exclusions', 'Digital', 'WaitingReject']",dd4750d2-e1bb-48ea-b485-aa793943e362,40
